expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
9/26/2022,2022,NA,NA,1st Bank,3.6,Ortega for Denver,Mayor,NA,NA,Fee for international transaction,Fee,PO Box 150097,NA,Lakewood,CO,'80215',No,No,No,Deborah Ortega,NA,NA
9/26/2022,2022,NA,NA,Stripe,4.7,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/26/2022,2022,NA,NA,Later.com,40,Tafoya for Mayor,Mayor,NA,NA,Fee for service,Fee,"88 E Pender Street, #500",NA,Los Angeles,CA,'90007',No,No,No,Ean Tafoya,NA,NA
9/26/2022,2022,NA,NA,"Greater Park Hill Community, Inc",100,Tafoya for Mayor,Mayor,NA,NA,Tabling fee,Fee,2823 Fairfax St,NA,Denver,CO,'80207',No,No,No,Ean Tafoya,NA,NA
9/26/2022,2022,NA,NA,First Bank,1,Diana for Denver,City Council,4,NA,Bank fee,Fee,8901 E Hampden Ave,NA,Denver,CO,'80231',No,No,No,Diana Romero Campbell,NA,NA
9/26/2022,2022,NA,NA,Revv,40.3,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/25/2022,2022,NA,NA,First Bank,125,Opportunities for Denver Kids,NA,NA,NA,Bank Fee,Fee,12345 W Colfax Ave,NA,Lakewood,CO,'80215',No,No,No,NA,NA,NA
9/23/2022,2022,Tran,Wills,NA,1279.64,Leslie for Mayor,Mayor,NA,NA,event supplies and printing,Supplies,2804 S Zurich Ct,NA,Denver,CO,'80236',No,No,No,Leslie Herod,NA,NA
9/23/2022,2022,Maya,Wheeler,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,2991 S Olathe Way,NA,Aurora,CO,'80013',No,No,No,Rita Lewis,NA,NA
9/23/2022,2022,Justin,Downey,NA,3000,Strong Library Strong Denver,NA,NA,NA,Consulting,Consultant,1836 Boulder St,Apt 520,Denver,CO,'80211',No,No,No,NA,NA,NA
9/23/2022,2022,Beth,McCann,NA,1.03,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,650 Detroit St.,NA,Denver,CO,'80206',Yes,No,No,Rita Lewis,NA,NA
9/23/2022,2022,NA,NA,ActBlue,11.56,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/23/2022,2022,NA,NA,The Corner Beet,24.32,Tafoya for Mayor,Mayor,NA,NA,Event Event,Event,1401 N Ogden St,NA,Denver,CO,'80218',No,No,No,Ean Tafoya,NA,NA
9/23/2022,2022,NA,NA,Stripe,44.6,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/23/2022,2022,NA,NA,Paragon Payment Solution,100,Watson for Denver,City Council,9,NA,transaction fees,Fee,2141 E Broadway Rd Suite 202,NA,Tempe,AZ,'85282',No,No,No,Darrell Watson,NA,NA
9/23/2022,2022,NA,NA,Olive and Finch,143.22,Sarah Parady for Denver,City Council At-Large,NA,NA,Event for event,Event,1552 E 17th Ave,NA,Denver,CO,'80218',No,No,No,Sarah Parady,NA,NA
9/22/2022,2022,Wayne,Vaden,NA,3.2,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,12075 E. 45th Ave.,Suite 100B,Denver,CO,'80239',No,No,No,Rita Lewis,NA,NA
9/22/2022,2022,Sean,Camacho,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,8064 E Bayaud Ave,NA,Denver,CO,'80230',No,No,No,Rita Lewis,NA,NA
9/22/2022,2022,Renee,Robinson,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,4514 Davenport Way,NA,Denver,CO,'80239',Yes,No,No,Rita Lewis,NA,NA
9/22/2022,2022,Norman,Harris,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,712 s Memphis way,NA,Aurora,CO,'80017',No,No,No,Rita Lewis,NA,NA
9/22/2022,2022,Cathy,Phelps,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,715 E 10th Avenue,11,Denver,CO,'80203',No,No,No,Rita Lewis,NA,NA
9/22/2022,2022,Carol,LeBoo,NA,3.2,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,8753 E 29th Pl,NA,Denver,CO,'80238',No,No,No,Rita Lewis,NA,NA
9/22/2022,2022,NA,NA,King Soopers,10.3,Tafoya for Mayor,Mayor,NA,NA,Event for event,Event,17761 Cottonwood Dr,NA,Parker,CO,'80134',No,No,No,Ean Tafoya,NA,NA
9/22/2022,2022,NA,NA,Paragon Payment Solution,194.18,Watson for Denver,City Council,9,NA,transaction fees,Fee,2141 E Broadway Rd Suite 202,NA,Tempe,AZ,'85282',No,No,No,Darrell Watson,NA,NA
9/22/2022,2022,NA,NA,Actblue,221.48,Diana for Denver,City Council,4,NA,Fees,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Diana Romero Campbell,NA,NA
9/22/2022,2022,NA,NA,Revv,4.48,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/21/2022,2022,David,Dixon,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,5980 Berry Ridge Way,NA,Castle Rock,CO,'80104',No,No,No,Rita Lewis,NA,NA
9/21/2022,2022,NA,NA,Colorado Super Show,364.7,Tafoya for Mayor,Mayor,NA,NA,Tabling fee,Fee,3016 Araphoe Sreet,NA,Denver,CO,'80205',No,No,No,Ean Tafoya,NA,NA
9/21/2022,2022,NA,NA,Stripe,129.24,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/21/2022,2022,NA,NA,Revv,2.3,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/21/2022,2022,NA,NA,Base Builder,1162.56,Sarah Parady for Denver,City Council At-Large,NA,NA,staffing,Staffing,3126 Oakland Ave,NA,Minneapolis,MN,'55407',Yes,No,No,Sarah Parady,NA,NA
9/20/2022,2022,Scott,Allen,NA,3.2,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,3020 Clermont St,NA,Denver,CO,'80207',No,No,No,Rita Lewis,NA,NA
9/20/2022,2022,Richard,Smith,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,5666 S. Quintero Circle,NA,Centennial,CO,'80015',No,No,No,Rita Lewis,NA,NA
9/20/2022,2022,regina,Jackson,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,330 Garfield St,NA,Denver,CO,'80206',No,No,No,Rita Lewis,NA,NA
9/20/2022,2022,NA,NA,ActBlue,1.16,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/20/2022,2022,NA,NA,"Buffer, Inc",15,NEWR Denver,NA,NA,NA,Subscription fee,Fee,344 Tehama St,NA,San Francisco,CA,'94105',No,No,No,NA,NA,NA
9/20/2022,2022,NA,NA,First Bank of Colorado,2,Jolon Clark for Denver,City Council,7,NA,Debit Card Fee,Fee,1316 E. Evans Ave,NA,Denver,CO,'80210',No,No,No,Jolon Clark,NA,NA
9/19/2022,2022,Keith,Matthews,NA,3.2,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,5824 S Espana Street,NA,Aurora,CO,'80015',No,No,No,Rita Lewis,NA,NA
9/19/2022,2022,NA,NA,ActBlue,5.69,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/19/2022,2022,NA,NA,Base Builder,425.15,Tony Pigford for Denver,City Council,4,NA,payroll,Staffing,3126 Oakland Ave,NA,Minneapolis,MN,'55407',Yes,No,No,Tony Pigford,NA,NA
9/19/2022,2022,NA,NA,Stripe,24.8,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/19/2022,2022,NA,NA,Democratic Party of Denver,100,Tafoya for Mayor,Mayor,NA,NA,Table fee,Fee,574 S Broadway,NA,Denver,CO,'80209',No,No,No,Ean Tafoya,NA,NA
9/19/2022,2022,NA,NA,Amazon Marketplace,91,Sarah Parady for Denver,City Council At-Large,NA,NA,office supplies,Supplies,410 Terry Ave. N,NA,Seattle,WA,'98109',Yes,No,No,Sarah Parady,NA,NA
9/19/2022,2022,NA,NA,CFO Colorado,432.97,Sarah Parady for Denver,City Council At-Large,NA,NA,Payroll,Staffing,9088 S Ridgeline Blvd #100,NA,Highlands Ranch,CO,'80129',Yes,No,No,Sarah Parady,NA,NA
9/19/2022,2022,NA,NA,1stBank,2,Friends for Kevin Flynn,City Council,2,NA,Bank card fee,Fee,PO Box 150097,NA,Lakewood,CO,'80215',No,No,No,Kevin Flynn,NA,NA
9/17/2022,2022,Seng,Yang,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,7535 E Hampden Ave,Suite 501,Denver,CO,'80231',No,No,No,Rita Lewis,NA,NA
9/17/2022,2022,Nicholas,Campion,NA,0.59,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,415 South Cherokee Street,#S208,Denver,CO,'80223',No,No,No,Rita Lewis,NA,NA
9/16/2022,2022,Lisa,Givens,NA,1.03,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,4281 S FairPlay Cir,Unit A,Aurora,CO,'80014',No,No,No,Rita Lewis,NA,NA
9/16/2022,2022,Debra,Gilbert,NA,0.59,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,3651 Leyden St,NA,Denver,CO,'80207',No,No,No,Rita Lewis,NA,NA
9/16/2022,2022,NA,NA,Google,350,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,youtube and search engine advertising,Marketing and advertising,1600 Amphitheatre Parkway,NA,Mountain View,CA,'94043',No,No,No,Terrance Roberts,NA,NA
9/16/2022,2022,NA,NA,Khalo's Mexican Restaurant LLC,35,Tafoya for Mayor,Mayor,NA,NA,Event Event,Event,"3775 Morrison Rd,",NA,Denver,CO,'80219',No,No,No,Ean Tafoya,NA,NA
9/16/2022,2022,NA,NA,Write Stuff Strategies,390,Tony Pigford for Denver,City Council,4,NA,consulting,Consultant,PO Box 100093,NA,Denver,CO,'80250',Yes,No,No,Tony Pigford,NA,NA
9/15/2022,2022,Michaela,Sellaro,NA,542.87,Shannon Loves D10,City Council,10,NA,Staff Payment,Staffing,1265 N Downing St Apt 106,NA,Denver,CO,'80218',Yes,No,No,Shannon Hoffman,NA,NA
9/15/2022,2022,Marlene,Richter,NA,262.5,Marty Zimmerman for Denver,City Council At-Large,NA,NA,Staff Compensation,Staffing,8707 E. Florida Ave,#701,Denver,CO,'80247',No,No,No,Marty Zimmerman,NA,NA
9/15/2022,2022,Marlene,Richter,NA,81.59,Marty Zimmerman for Denver,City Council At-Large,NA,NA,Reimbursement - Office Supplies,Supplies,8707 E. Florida Ave,#701,Denver,CO,'80247',No,No,No,Marty Zimmerman,NA,NA
9/15/2022,2022,Anita,West-Berry,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,4027 E 30th Ave,NA,Denver,CO,'80207',No,No,No,Rita Lewis,NA,NA
9/15/2022,2022,Albert,Koger,NA,1.75,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,14565 E Alameda Ave,417,Aurora,CO,'80012',No,No,No,Rita Lewis,NA,NA
9/15/2022,2022,NA,NA,Nextdoor,155,Terrance Roberts For Denver: Save Our City Campaign,Mayor,NA,NA,advertising,Marketing and advertising,420 Taylor St,NA,San Francisco,CA,'94102',No,No,No,Terrance Roberts,NA,NA
9/15/2022,2022,NA,NA,Actblue,109.03,Diana for Denver,City Council,4,NA,Fees,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Diana Romero Campbell,NA,NA
9/15/2022,2022,NA,NA,US Bank,5,Watson for Denver,City Council,9,NA,bank fee,Fee,2701 Welton St,NA,Denver,CO,'80205',No,No,No,Darrell Watson,NA,NA
9/15/2022,2022,NA,NA,Taqueria Contreras,12,Tafoya for Mayor,Mayor,NA,NA,Event Event,Event,3570 Morrison Rd,NA,Denver,CO,'80219',No,No,No,Ean Tafoya,NA,NA
9/15/2022,2022,NA,NA,Base Builder,1162.56,Sarah Parady for Denver,City Council At-Large,NA,NA,staffing,Staffing,3126 Oakland Ave,NA,Minneapolis,MN,'55407',Yes,No,No,Sarah Parady,NA,NA
9/15/2022,2022,NA,NA,CFO Colorado,1953.81,Sarah Parady for Denver,City Council At-Large,NA,NA,Payroll,Staffing,9088 S Ridgeline Blvd #100,NA,Highlands Ranch,CO,'80129',Yes,No,No,Sarah Parady,NA,NA
9/14/2022,2022,Vita,Lantz,NA,1.03,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,1521 S Carson St,NA,Aurora,CO,'80012',No,No,No,Rita Lewis,NA,NA
9/14/2022,2022,Marc,Vangrootel,NA,35,Sarah Parady for Denver,City Council At-Large,NA,NA,digital advertising,Marketing and advertising,2300 Lafayette St.,NA,Denver,CO,'80205',Yes,No,No,Sarah Parady,NA,NA
9/14/2022,2022,NA,NA,Canva Inc.,12.99,NEWR Denver,NA,NA,NA,Subscription fee,Fee,75 East Santa Clara Street,NA,San Jose,CA,'95113',No,No,No,NA,NA,NA
9/14/2022,2022,NA,NA,Stripe,240.91,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/14/2022,2022,NA,NA,ActBlue,4.68,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/14/2022,2022,NA,NA,Revv,41.98,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/14/2022,2022,NA,NA,HR Meininger Company,170.21,Sarah Parady for Denver,City Council At-Large,NA,NA,art supplies,Supplies,499 Broadway,NA,Denver,CO,'80203',No,No,No,Sarah Parady,NA,NA
9/13/2022,2022,NA,NA,ActBlue,3.66,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/13/2022,2022,NA,NA,Stripe,36.1,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/12/2022,2022,NA,NA,GES Gazette,550,Kwon Atlas for Denver,City Council,9,NA,Print ad in the GES Gazette,Marketing and advertising,PO Box 11584,NA,Denver,CO,'80211',No,No,No,Kwon Atlas,NA,NA
9/12/2022,2022,NA,NA,GES Gazette,550,Kwon Atlas for Denver,City Council,9,NA,Print Ad in the GES Gazette,Marketing and advertising,PO Box 11584,NA,Denver,CO,'80211',No,No,No,Kwon Atlas,NA,NA
9/12/2022,2022,NA,NA,Stripe,75.02,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/12/2022,2022,NA,NA,Prodigy Ventures,4.7,Tafoya for Mayor,Mayor,NA,NA,Coffee for meeting,Fee,4500 Broadway,NA,Denver,CO,'80216',No,No,No,Ean Tafoya,NA,NA
9/12/2022,2022,NA,NA,Trailblazer Advantage,2100,Sarah Parady for Denver,City Council At-Large,NA,NA,Consulting,Consultant,1653 Iola Street,NA,Aurora,CO,'80010',Yes,No,No,Sarah Parady,NA,NA
9/10/2022,2022,NA,NA,State of Colorado,50,Shannon Loves D10,City Council,10,NA,Secretary of State registration fee,Fee,1700 Broadway,#550,Denver,CO,'80290',No,No,No,Shannon Hoffman,NA,NA
9/9/2022,2022,Daniel,Gallagher,Self,1000,Tony Pigford for Denver,City Council,4,NA,consulting,Consultant,2788 W ILIFF AVE,NA,Denver,CO,'80219',No,No,No,Tony Pigford,NA,NA
9/9/2022,2022,NA,NA,ActBlue,2.46,Waste No More,NA,NA,NA,Fee for service,Fee,P.O. Box 441146,NA,Somerville,MA,'02144',No,No,No,NA,NA,NA
9/9/2022,2022,NA,NA,Vantiv Ecommerce,52.08,Tafoya for Mayor,Mayor,NA,NA,Fee for service,Fee,900 Chelmsford Street,NA,Lowell,MA,'01851',No,No,No,Ean Tafoya,NA,NA
9/9/2022,2022,NA,NA,Stripe,27.74,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/9/2022,2022,NA,NA,Harvest,24,Shannon Loves D10,City Council,10,NA,Payroll company fee,Fee,2248 Broadway,#1103,New York,NY,'10024',No,No,No,Shannon Hoffman,NA,NA
9/9/2022,2022,NA,NA,Vantiv,0.5,Watson for Denver,City Council,9,NA,transaction fee,Fee,900 CHELMSFORD,NA,ST LOWELL,MA,'01851',No,No,No,Darrell Watson,NA,NA
9/9/2022,2022,NA,NA,Vantiv LLC,6.31,Shannon Loves D10,City Council,10,NA,Transaction Fee,Fee,8500 Governors Hill Dr,NA,Symmes Township,OH,'45249',No,No,No,Shannon Hoffman,NA,NA
9/9/2022,2022,NA,NA,Vantiv eCommerce,61.72,Sawyer for Denver City Council,City Council,5,NA,payment processing fee,Fee,4610 South Ulster Street,NA,Denver,CO,'80237',No,No,No,Amanda Sawyer,NA,NA
9/9/2022,2022,NA,NA,FlexPoint Media INC,2451.94,Andy for Denver,Mayor,NA,NA,Digital Consulting and Website,Consultant,14 Ealy Xing S,NA,New Albany,OH,'43054',No,No,No,Andre Rougeot,NA,NA
9/9/2022,2022,NA,NA,Vantiv eCommerce,42.09,Committee to Elect Stacie Gilmore,City Council,11,NA,Activity Fees,Fee,900 Chelmsford St.,NA,Lowell,MA,'01851',No,No,No,Stacie Gilmore,NA,NA
9/8/2022,2022,NA,NA,Actblue,57.11,Diana for Denver,City Council,4,NA,Fees,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Diana Romero Campbell,NA,NA
9/8/2022,2022,NA,NA,Doghouse Tavern,46,Tafoya for Mayor,Mayor,NA,NA,Event for event,Event,"3100 S Sheridan Blvd,",NA,Denver,CO,'80227',No,No,No,Ean Tafoya,NA,NA
9/8/2022,2022,NA,NA,Starbucks,13.23,Tafoya for Mayor,Mayor,NA,NA,Event Event,Event,3087 S Sheridan Blvd,NA,Denve,CO,'80227',No,No,No,Ean Tafoya,NA,NA
9/8/2022,2022,NA,NA,Stripe,183.1,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/8/2022,2022,NA,NA,ActBlue,7.86,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/8/2022,2022,NA,NA,Leverage10,80000,Common Sense Solutions for Denver,NA,NA,NA,Media Buy,Marketing and advertising,90 Madison Street,Suite 701,Denver,CO,'80206',No,No,No,NA,NA,NA
9/8/2022,2022,NA,NA,Revv,4.48,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/7/2022,2022,Brad,Evans,NA,1000,Tony Pigford for Denver,City Council,4,NA,consulting,Consultant,15575 W La Salle Ave,NA,Lakewood,CO,'80228',No,No,No,Tony Pigford,NA,NA
9/7/2022,2022,NA,NA,Stripe,66.9,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/7/2022,2022,NA,NA,ActBlue,4.16,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/7/2022,2022,NA,NA,CFO Colorado,137.7,Sarah Parady for Denver,City Council At-Large,NA,NA,Payroll,Staffing,9088 S Ridgeline Blvd #100,NA,Highlands Ranch,CO,'80129',No,No,No,Sarah Parady,NA,NA
9/7/2022,2022,NA,NA,Revv,6.25,Andy for Denver,Mayor,NA,NA,Credit Card Fees,Fee,1920 L St NW,Ste 325,Washington,DC,'20036',No,No,No,Andre Rougeot,NA,NA
9/6/2022,2022,Priscilla,Zavala,NA,1000,Marty Zimmerman for Denver,City Council At-Large,NA,NA,Staff Compensation,Staffing,1755 S. Beeler St,9-O,Denver,CO,'80247',No,No,No,Marty Zimmerman,NA,NA
9/6/2022,2022,Marc,Vangrootel,NA,910,Sarah Parady for Denver,City Council At-Large,NA,NA,digital advertising,Marketing and advertising,2300 Lafayette St.,NA,Denver,CO,'80205',Yes,No,No,Sarah Parady,NA,NA
9/6/2022,2022,NA,NA,Vantiv Ecommerce,28.58,Tafoya for Mayor,Mayor,NA,NA,Fee for service,Fee,900 Chelmsford Street,NA,Lowell,MA,'01851',No,No,No,Ean Tafoya,NA,NA
9/6/2022,2022,NA,NA,ActBlue LLC,88.84,NEWR Denver,NA,NA,NA,Service fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,NA,NA,NA
9/6/2022,2022,NA,NA,Amazon.com Services LLC,1.31,NEWR Denver,NA,NA,NA,Service fee,Fee,410 Terry Avenue North,NA,Seattle,WA,'98109',No,No,No,NA,NA,NA
9/6/2022,2022,NA,NA,MailChimp,17.29,NEWR Denver,NA,NA,NA,Subscription fee,Fee,675 Ponce De Leon Avenue,Northeast Suite 5000,Atlanta,GA,'30308',No,No,No,NA,NA,NA
9/6/2022,2022,NA,NA,Stripe,349.48,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/6/2022,2022,NA,NA,Clancy Consulting LLC,4025,Watson for Denver,City Council,9,NA,consultant,Consultant,614 Mono Pl,NA,Colorado Springs,CO,'80910',No,No,No,Darrell Watson,NA,NA
9/6/2022,2022,NA,NA,Vantiv LLC,11.52,Shannon Loves D10,City Council,10,NA,Transaction fee,Fee,8500 Governors Hill Dr,NA,Symmes Township,OH,'45249',No,No,No,Shannon Hoffman,NA,NA
9/6/2022,2022,NA,NA,ActBlue,14.86,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/6/2022,2022,NA,NA,ACTBLUEDONATE,33.38,Sawyer for Denver City Council,City Council,5,NA,fee,Fee,PO Box 441146,NA,Somerville,MA,'02148',No,No,No,Amanda Sawyer,NA,NA
9/6/2022,2022,NA,NA,Act Blue,10.13,Jamie Torres for Council,City Council,3,NA,Act Blue Fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Jamie Torres,NA,NA
9/6/2022,2022,NA,NA,ACTBLUE Donate,20.63,Committee to Elect Stacie Gilmore,City Council,11,NA,Activity Fees,Fee,366 Summer St.,NA,Somerville,MA,'02144',No,No,No,Stacie Gilmore,NA,NA
9/6/2022,2022,NA,NA,Action Squared,10,NEWR Denver,NA,NA,NA,Subscription fee,Fee,1900 L Street NW Suite 900,NA,Washington,DC,'20036',No,No,No,NA,NA,NA
9/6/2022,2022,NA,NA,Act Blue,26.03,Sarah Parady for Denver,City Council At-Large,NA,NA,Donation processing fees,Fee,366 Summer St,NA,Somerville,MA,'02144',No,No,No,Sarah Parady,NA,NA
9/6/2022,2022,NA,NA,CFO Colorado,809.6,Sarah Parady for Denver,City Council At-Large,NA,NA,Payroll,Staffing,9088 S Ridgeline Blvd #100,NA,Highlands Ranch,CO,'80129',No,No,No,Sarah Parady,NA,NA
9/5/2022,2022,Kevin,Brauer,NA,1.03,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,2322 Franklin St,NA,Denver,CO,'80205',No,No,No,Rita Lewis,NA,NA
9/4/2022,2022,STACIA,ROBINSON,NA,9,Rita Lewis for Denver,City Council,8,NA,Transaction fee,Fee,4513 Deerfield Ct,NA,Montgomery,AL,'36109',No,No,No,Rita Lewis,NA,NA
9/3/2022,2022,NA,NA,RKG Development,500,Opportunities for Denver Kids,NA,NA,NA,Compliance Consulting,Consultant,656 Rock Ridge Drive,NA,Lafayette,CO,'80026',No,No,No,NA,NA,NA
9/3/2022,2022,NA,NA,Office Depot,14.12,Travis Leiker for Denver,City Council At-Large,NA,NA,Office Supplies,Supplies,7305 E 36th Ave,NA,Denver,CO,'80238',No,No,No,Travis Leiker,NA,NA
9/2/2022,2022,Mason,Riley,NA,1547.4,Andy for Denver,Mayor,NA,NA,Campaign Consulting,Consultant,PO Box 11180,NA,Denver,CO,'80211',No,No,No,Andre Rougeot,NA,NA
9/2/2022,2022,NA,NA,Paragon Payment Solutions,265.32,Brad for Denver,City Council,8,NA,Payment Processing Fees,Fee,2141 East Broadway Rd,Suite 202,Tempe,AZ,'85282',No,No,No,Brad Revare,NA,NA
9/2/2022,2022,NA,NA,NGP VAN,200.22,Flor For Denver,City Council,7,NA,Payment Processing Fees,Fee,655 15th St.,NW Suite 650,Washington DC,DC,'20005',No,No,No,Flor Alvidrez,NA,NA
9/2/2022,2022,NA,NA,Google,12.58,NEWR Denver,NA,NA,NA,Subscription fee,Fee,600 Amphitheatre Pkwy,NA,Mountain View,CA,'94043',No,No,No,NA,NA,NA
9/2/2022,2022,NA,NA,NGP VAN,500,Tafoya for Mayor,Mayor,NA,NA,Fee for service,Fee,1101 15th Street North West Suite 500,NA,Washington DC,DC,'20005',No,No,No,Ean Tafoya,NA,NA
9/2/2022,2022,NA,NA,Stripe,190.7,Kelly for Mayor,Mayor,NA,NA,Credit card merchant fee,Fee,354 Oyster  Point Blvd,NA,South San Francisco,CA,'94080',No,No,No,Kelly Brough,NA,NA
9/2/2022,2022,NA,NA,"Switchboard Strategies, LLC",2500,Tiffany Caudill for City Council,City Council,2,NA,Campaign Consulting,Consultant,1315 Monroe Street,NA,Denver,CO,'80206',Yes,No,No,Tiffany Caudill,NA,NA
9/2/2022,2022,NA,NA,ActBlue,0.42,Guy for Denver,City Council,7,NA,Credit card processing fee,Fee,366 Summer Street,NA,Somerville,MA,'02144',No,No,No,Guy Padgett,NA,NA
9/2/2022,2022,NA,NA,Square,36.68,Hancock for Denver,Mayor,NA,NA,Credit Card Processing Fees,Fee,1455 Market St. Suite 600,NA,San Francisco,CA,'94103',No,No,No,Michael Hancock,NA,NA
9/2/2022,2022,NA,NA,Relentless Media LLC,7000,Andy for Denver,Mayor,NA,NA,Campaign Consulting,Consultant,1429 Dolgner Pl,NA,Sanford,FL,'32771',No,No,No,Andre Rougeot,NA,NA
